image_name,0.005,0.01,0.02,0.03,0.04,0.05
00001.png,x,x,x,x,o,o
00006.png,x,o,x,o,o,o
00008.png,x,x,x,x,x,o
00010.png,x,x,x,x,o,o
00011.png,x,o,x,o,o,o
00012.png,x,x,x,x,x,o
00013.png,x,x,o,o,o,o
00018.png,x,x,o,o,o,o
00021.png,x,x,x,x,o,o
00024.png,x,x,x,x,o,o
00026.png,x,x,x,x,x,o
00029.png,x,o,x,o,o,o
00030.png,x,x,x,x,x,o
00032.png,x,o,x,x,o,o
00035.png,o,x,o,o,o,o
00037.png,x,x,x,x,o,o
00039.png,x,x,o,o,o,o
00042.png,x,x,x,x,x,x
00046.png,x,x,x,x,x,x
00050.png,x,x,x,x,o,o
00058.png,x,x,o,o,o,o
00059.png,x,x,x,x,x,x
00060.png,x,x,o,o,o,o
00061.png,x,x,x,x,x,x
00063.png,x,x,x,x,x,o
00066.png,o,x,x,x,x,x
00068.png,x,x,x,x,x,x
00069.png,o,x,x,x,x,x
00072.png,x,x,x,x,x,x
00074.png,x,x,x,x,x,x
00076.png,x,x,x,x,x,x
00081.png,x,x,x,x,x,x
00083.png,x,x,x,x,x,x
00087.png,x,x,x,x,x,x
00090.png,x,x,x,x,x,x
00092.png,x,x,x,x,x,x
00096.png,x,x,x,x,x,x
00098.png,x,x,x,x,x,x
00102.png,x,x,x,x,x,x
00104.png,x,x,x,x,x,x
00111.png,x,x,x,x,x,x
