image_name,0.005,0.01,0.02,0.03,0.04,0.05
00001.png,x,x,x,x,x,x
00007.png,x,x,x,x,x,x
00020.png,x,x,x,x,x,x
00039.png,x,x,x,x,x,x
00049.png,x,x,x,x,x,x
00050.png,x,x,x,x,x,x
00072.png,x,x,x,x,x,x
00083.png,x,x,x,x,x,x
00107.png,x,x,x,x,x,x
00111.png,x,x,x,x,x,x
00131.png,x,x,x,x,x,x
00132.png,x,x,x,x,x,x
00160.png,x,x,x,x,x,x
00171.png,x,x,x,x,x,x
00176.png,x,x,x,x,x,x
00183.png,x,x,x,x,x,x
00271.png,x,x,x,x,x,x
00279.png,x,x,x,x,x,x
00305.png,o,o,o,o,o,o
00326.png,o,o,o,o,o,o
00349.png,x,x,o,o,o,o
00370.png,o,o,o,o,o,o
00435.png,x,x,o,o,o,o
00479.png,x,x,o,o,o,o
00491.png,x,o,o,o,o,o
00495.png,o,o,o,o,o,o
00555.png,o,o,o,o,o,o
00567.png,o,o,o,o,o,o
00576.png,o,o,o,o,o,o
00579.png,o,o,o,o,o,o
00612.png,x,x,o,o,o,o
00632.png,x,x,o,o,o,o
00643.png,x,x,x,x,x,o
00670.png,x,x,x,x,x,x
00682.png,x,x,x,x,x,x
00704.png,o,x,o,o,o,o
00715.png,x,x,x,x,x,x
00788.png,x,x,x,x,x,x
00799.png,x,x,x,o,o,o
00810.png,x,x,o,o,o,o
00821.png,x,x,x,o,o,o
00852.png,x,x,o,o,o,o
00854.png,x,o,o,o,o,o
00863.png,x,o,o,o,o,o
00865.png,x,o,o,o,o,o
00877.png,x,o,o,o,o,o
00909.png,x,x,x,x,x,x
00930.png,x,x,x,x,x,x
00931.png,x,x,x,x,x,x
00942.png,x,x,x,x,x,x
00952.png,x,x,x,x,x,x
00970.png,x,x,x,o,o,o
00974.png,x,x,x,x,x,x
00989.png,x,x,x,x,x,x
00997.png,x,x,x,x,x,x
01003.png,x,x,x,x,x,x
01004.png,x,x,x,x,x,x
01005.png,x,x,x,x,x,x
01016.png,x,x,x,x,x,x
01017.png,x,x,x,o,o,o
01019.png,x,x,x,x,x,x
01068.png,x,x,x,x,x,x
01126.png,x,x,x,x,x,x
01127.png,x,x,x,x,x,x
01148.png,x,x,x,x,x,x
