image_name,0.005,0.01,0.02,0.03,0.04,0.05
00002.png,o,o,o,o,o,o
00004.png,o,o,o,o,o,o
00005.png,o,o,o,o,o,o
00007.png,o,o,o,o,o,o
00026.png,x,x,x,x,x,x
00033.png,x,x,x,x,x,x
00038.png,x,o,o,o,o,o
00042.png,o,o,o,o,o,o
00045.png,x,o,o,o,o,o
00052.png,o,o,o,o,o,o
00053.png,o,o,o,o,o,o
00067.png,x,x,x,o,o,o
00078.png,x,x,o,o,o,o
00084.png,x,o,o,o,o,o
00086.png,x,o,o,o,o,o
00090.png,o,o,o,o,o,o
00102.png,o,o,o,o,o,o
00114.png,o,o,o,o,o,o
00119.png,x,x,x,x,x,o
00123.png,x,x,x,x,x,o
00141.png,x,x,x,x,x,x
00181.png,x,x,x,x,x,x
00188.png,x,x,x,x,o,o
00215.png,x,x,x,x,x,o
00223.png,x,o,o,o,o,o
00230.png,x,x,o,o,o,o
00271.png,o,o,o,o,o,o
00290.png,o,o,o,o,o,o
00293.png,o,o,o,o,o,o
00300.png,o,o,o,o,o,o
00311.png,o,o,o,o,o,o
00316.png,o,o,o,o,o,o
00327.png,o,o,o,o,o,o
00333.png,o,o,o,o,o,o
00366.png,o,o,o,o,o,o
00412.png,x,x,x,o,o,o
00431.png,o,o,o,o,o,o
00434.png,o,o,o,o,o,o
00479.png,x,x,x,x,o,o
00519.png,o,o,o,o,o,o
00548.png,x,o,o,o,o,o
00561.png,x,x,x,x,o,o
00580.png,x,x,x,x,x,x
00653.png,o,o,o,o,o,o
00665.png,o,o,o,o,o,o
00669.png,o,o,o,o,o,o
00673.png,x,x,o,o,o,o
00695.png,x,x,x,o,o,o
00731.png,x,x,x,x,x,x
