image_name,0.005,0.01,0.02,0.03,0.04,0.05
070313_IMG_6187_Syria-Palmyra-Roman-Ruins_999x.png,x,x,x,x,x,x
1147302_palmyre-lei-detruit-le-temple-de-baalshamin-classe-au-patrimoine-de-lhumanite-web-tete-021277294556.png,o,o,o,o,o,o
150824004238-baalshamin-temple-palmyra-exlarge-169-550x300.png,x,x,x,x,x,x
182z.png,x,x,o,o,o,o
19144401003_5d0dee05f5_o.png,x,x,x,x,x,x
194d.png,x,x,x,o,o,o
19577278428_e8044e854b_o.png,x,x,x,o,o,o
19577300988_4e4ff423a7_o.png,o,o,o,o,o,o
19577310688_5d2e78386b_o.png,o,o,o,o,o,o
19577313278_bf436a42f4_o.png,o,o,o,o,o,o
19578696189_92b41b9b79_o.png,o,o,o,o,o,o
19739127926_d1f03f70ed_o.png,o,o,o,o,o,o
19739156806_e4f69d8792_o.png,o,o,o,o,o,o
19758050972_3e8ee37d98_o.png,o,o,o,o,o,o
19758057422_3b2d8bf005_o.png,o,o,o,o,o,o
19765295615_6a8758cc07_o.png,x,o,o,o,o,o
19770021361_0a7ef660e2_o.png,o,o,o,o,o,o
19770034361_ab8a99f3a9_o.png,o,o,o,o,o,o
19875043841_a36e9ccb18_o.png,x,x,x,x,o,o
2316.png,x,x,x,x,o,o
25.png,x,x,x,x,x,x
5740.png,x,x,x,x,x,x
5741.png,x,x,x,x,x,x
5747.png,x,x,x,x,x,o
5748.png,o,o,o,o,o,o
5821.png,x,x,x,x,x,x
8100208.png,x,x,o,o,o,o
85328479_89f3b31dfa_o.png,x,x,x,x,x,x
CIMG2278.png,x,x,x,x,x,x
CIMG2282.png,x,x,o,o,o,o
DSC01926.png,x,x,x,x,o,o
DSCF4498.png,x,x,x,x,o,o
DSCF4501.png,x,x,x,x,o,o
DSCF4642.png,x,x,o,x,x,o
DSCF4644.png,x,x,x,x,o,o
DSCN2009.png,x,x,x,x,o,o
DSCN2022.png,o,x,x,x,x,o
DSCN2027.png,x,x,x,x,x,x
DSCN2032.png,x,x,x,o,x,o
DSCN2034.png,x,x,x,o,o,o
DSCN2063.png,x,x,o,o,o,o
DSCN2064.png,x,x,o,o,o,o
DSCN2065.png,x,x,o,o,o,o
DSCN2066.png,x,o,o,o,o,o
HPIM3190.png,x,o,o,o,o,o
IMG_1145.png,x,x,x,o,o,o
ISIS-destroyed-Baalshamin-temple-in-Palmyra-600x399.png,x,x,x,o,o,o
Image29.png,x,x,x,x,x,x
Image6.png,x,x,o,o,o,o
PICT0818.png,x,x,x,x,o,o
Palmyr29.png,x,x,x,o,o,o
Palmyra_BaalShamin.png,x,x,x,o,o,o
Palmyre_(25).png,x,x,x,x,o,o
Palmyre_(26).png,x,x,x,x,o,o
Palmyre_(27).png,x,x,x,x,o,o
Palmyre_(28).png,x,o,o,o,o,o
Screenshot_2015-10-11-18-16-31.png,x,x,x,x,x,x
Screenshot_2015-10-11-18-16-38.png,x,x,x,x,o,o
Screenshot_2015-10-11-18-16-45.png,x,x,x,o,o,o
Temple_of_Ba_al-shamin__Palmyra__Syria.png,x,o,o,o,o,o
Temple_of_Baal-Shamin__Palmyra.png,x,o,o,o,o,o
Temple_of_Baal-Shamin_in_Palmyra_2010.png,x,o,o,o,o,o
The_Temple_of_Baalshamin__Palmyra__Syria_02AM3152.png,x,x,x,o,o,o
img_2163.png,x,x,x,x,x,x
temle-ba_al-shamin-4.png,x,o,o,o,o,o
