image_name,0.005,0.01,0.02,0.03,0.04,0.05
3DOM_FBK_IMG_1512.png,x,o,o,o,o,o
3DOM_FBK_IMG_1517.png,o,o,o,o,o,o
3DOM_FBK_IMG_1522.png,x,x,o,o,o,o
3DOM_FBK_IMG_1538.png,x,x,o,o,o,o
3DOM_FBK_IMG_1542.png,x,o,o,o,o,o
3DOM_FBK_IMG_1549.png,o,o,o,o,o,o
3DOM_FBK_IMG_1554.png,o,o,o,o,o,o
3DOM_FBK_IMG_1562.png,x,x,o,o,o,o
3DOM_FBK_IMG_1564.png,o,o,o,o,o,o
3DOM_FBK_IMG_1565.png,o,o,o,o,o,o
3DOM_FBK_IMG_1571.png,o,x,o,o,o,o
3DOM_FBK_IMG_1573.png,o,o,o,o,o,o
3DOM_FBK_IMG_1582.png,x,o,o,o,o,o
IMG_0055.png,x,x,x,o,o,o
IMG_0060.png,x,x,x,x,o,o
IMG_0075.png,x,x,x,x,o,o
IMG_0099.png,x,x,x,o,o,o
IMG_0102.png,x,x,x,x,o,o
IMG_0105.png,x,x,x,x,o,o
IMG_0107.png,x,x,x,x,o,o
IMG_0119.png,x,o,o,o,o,o
IMG_0133.png,o,o,o,o,o,o
IMG_0152.png,x,x,x,o,o,o
IMG_0168.png,x,x,x,o,o,o
IMG_0182.png,x,x,x,x,o,o
IMG_0207.png,x,o,x,o,o,o
IMG_0219.png,x,x,x,x,o,o
IMG_0244.png,x,x,o,o,o,o
IMG_0257.png,x,x,x,x,o,o
IMG_0272.png,x,x,x,o,o,o
IMG_0281.png,x,x,o,o,o,o
IMG_0297.png,x,x,x,o,o,o
IMG_0311.png,x,o,o,o,o,o
IMG_0324.png,x,o,o,o,o,o
IMG_0336.png,x,o,o,o,o,o
IMG_0353.png,o,o,o,o,o,o
IMG_0362.png,x,x,o,o,o,o
IMG_0391.png,x,x,o,o,o,o
IMG_0409.png,o,o,o,o,o,o
IMG_0461.png,o,o,o,o,o,o
archive_0001.png,x,o,o,o,o,o
archive_0003.png,x,x,x,o,o,o
archive_0004.png,x,x,o,o,o,o
archive_0005.png,x,x,x,x,x,x
archive_0008.png,x,x,x,o,o,o
archive_0010.png,o,o,o,o,o,o
archive_0013.png,o,o,o,o,o,o
archive_0015.png,x,o,o,o,o,o
archive_0025.png,x,x,o,o,o,o
archive_0026.png,x,x,x,o,o,o
archive_0030.png,x,x,x,x,x,x
archive_0054.png,o,o,o,o,o,o
archive_0057.png,x,o,o,o,o,o
archive_0132.png,x,x,x,x,x,x
archive_0230.png,x,x,o,o,o,o
dioscuria_147.png,x,x,x,x,x,x
dioscuria_154.png,x,x,x,x,x,x
dioscuria_161.png,x,x,x,x,x,x
dioscuria_185.png,x,x,x,x,x,x
dioscuria_214.png,x,x,x,x,x,x
dioscuria_228.png,x,x,x,x,x,x
dioscuria_236.png,x,x,x,x,x,x
dioscuria_261.png,x,x,x,x,x,x
templia__101.png,x,x,x,x,x,x
templia__75.png,x,x,x,x,x,x
templia__78.png,x,x,x,x,x,x
templia__87.png,x,x,x,x,x,x
templia__94.png,x,x,x,x,x,x
templic_23.png,x,x,x,x,x,x
templic_30.png,x,x,x,x,x,x
